0.814,0.595,0,-7.726,1,0.0277,0.476,0,0.278,0.8,115.004,audio_features,7BYMjh3vWnHU4IFyfZdIDO,spotify:track:7BYMjh3vWnHU4IFyfZdIDO,https://api.spotify.com/v1/tracks/7BYMjh3vWnHU4IFyfZdIDO,https://api.spotify.com/v1/audio-analysis/7BYMjh3vWnHU4IFyfZdIDO,185008,4
0.547,0.666,6,-5.694,1,0.0393,0.4,0,0.144,0.43,129.814,audio_features,69zgyr5HVKdInjeKpq1qHa,spotify:track:69zgyr5HVKdInjeKpq1qHa,https://api.spotify.com/v1/tracks/69zgyr5HVKdInjeKpq1qHa,https://api.spotify.com/v1/audio-analysis/69zgyr5HVKdInjeKpq1qHa,239795,4
0.772,0.509,1,-8.948,1,0.0642,0.47,7.47e-06,0.0895,0.162,99.003,audio_features,2avvGgqlddEXMoYSSzML97,spotify:track:2avvGgqlddEXMoYSSzML97,https://api.spotify.com/v1/tracks/2avvGgqlddEXMoYSSzML97,https://api.spotify.com/v1/audio-analysis/2avvGgqlddEXMoYSSzML97,178788,4
0.669,0.698,11,-4.613,1,0.091,0.571,0,0.102,0.286,80.003,audio_features,0KWnRv3wxjltYVB3MqjNd2,spotify:track:0KWnRv3wxjltYVB3MqjNd2,https://api.spotify.com/v1/tracks/0KWnRv3wxjltYVB3MqjNd2,https://api.spotify.com/v1/audio-analysis/0KWnRv3wxjltYVB3MqjNd2,175500,4
0.76,0.545,7,-7.296,1,0.357,0.668,0,0.103,0.541,97.983,audio_features,58jR5yJgLZgLKtioCEYZGI,spotify:track:58jR5yJgLZgLKtioCEYZGI,https://api.spotify.com/v1/tracks/58jR5yJgLZgLKtioCEYZGI,https://api.spotify.com/v1/audio-analysis/58jR5yJgLZgLKtioCEYZGI,159562,4
0.612,0.595,3,-5.349,1,0.0324,0.327,0,0.127,0.227,124.03,audio_features,3mAc5QY56d5Zl1MbvnWybK,spotify:track:3mAc5QY56d5Zl1MbvnWybK,https://api.spotify.com/v1/tracks/3mAc5QY56d5Zl1MbvnWybK,https://api.spotify.com/v1/audio-analysis/3mAc5QY56d5Zl1MbvnWybK,262400,4
0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,audio_features,7ju97lgwC2rKQ6wwsf9no9,spotify:track:7ju97lgwC2rKQ6wwsf9no9,https://api.spotify.com/v1/tracks/7ju97lgwC2rKQ6wwsf9no9,https://api.spotify.com/v1/audio-analysis/7ju97lgwC2rKQ6wwsf9no9,182200,4
0.677,0.569,3,-9.616,1,0.0826,0.67,0,0.374,0.31,80.014,audio_features,5mkTa7Y2RXn7iJmucGtWrF,spotify:track:5mkTa7Y2RXn7iJmucGtWrF,https://api.spotify.com/v1/tracks/5mkTa7Y2RXn7iJmucGtWrF,https://api.spotify.com/v1/audio-analysis/5mkTa7Y2RXn7iJmucGtWrF,213000,4
0.502,0.565,9,-7.779,1,0.0358,0.696,5.55e-05,0.156,0.253,139.926,audio_features,5cU1O9P0EDA0rPkPDykhIm,spotify:track:5cU1O9P0EDA0rPkPDykhIm,https://api.spotify.com/v1/tracks/5cU1O9P0EDA0rPkPDykhIm,https://api.spotify.com/v1/audio-analysis/5cU1O9P0EDA0rPkPDykhIm,321040,4
0.63,0.633,4,-7.088,1,0.0457,0.00776,0,0.0541,0.452,93.995,audio_features,3Z8FwOEN59mRMxDCtb8N0A,spotify:track:3Z8FwOEN59mRMxDCtb8N0A,https://api.spotify.com/v1/tracks/3Z8FwOEN59mRMxDCtb8N0A,https://api.spotify.com/v1/audio-analysis/3Z8FwOEN59mRMxDCtb8N0A,172762,4
0.739,0.841,5,-4.162,1,0.06,0.0312,0,0.173,0.562,106.99,audio_features,2bAAj29XGc4h1G4oEGYCmg,spotify:track:2bAAj29XGc4h1G4oEGYCmg,https://api.spotify.com/v1/tracks/2bAAj29XGc4h1G4oEGYCmg,https://api.spotify.com/v1/audio-analysis/2bAAj29XGc4h1G4oEGYCmg,199653,4
0.676,0.869,1,-1.573,1,0.0423,0.115,0,0.132,0.594,120.029,audio_features,0pYacDCZuRhcrwGUA5nTBe,spotify:track:0pYacDCZuRhcrwGUA5nTBe,https://api.spotify.com/v1/tracks/0pYacDCZuRhcrwGUA5nTBe,https://api.spotify.com/v1/audio-analysis/0pYacDCZuRhcrwGUA5nTBe,167573,4
0.36,0.233,7,-11.512,1,0.0509,0.9,3.96e-06,0.106,0.37,77.436,audio_features,6iNH42q8haGYDYGhKK6XiJ,spotify:track:6iNH42q8haGYDYGhKK6XiJ,https://api.spotify.com/v1/tracks/6iNH42q8haGYDYGhKK6XiJ,https://api.spotify.com/v1/audio-analysis/6iNH42q8haGYDYGhKK6XiJ,237000,4
0.522,0.383,4,-10.962,1,0.0285,0.714,1.67e-05,0.106,0.332,150.018,audio_features,7mCr6Rn5jx04Fisvts97Z3,spotify:track:7mCr6Rn5jx04Fisvts97Z3,https://api.spotify.com/v1/tracks/7mCr6Rn5jx04Fisvts97Z3,https://api.spotify.com/v1/audio-analysis/7mCr6Rn5jx04Fisvts97Z3,256000,4
0.538,0.709,0,-6.318,1,0.051,0.275,0,0.0923,0.423,169.976,audio_features,3j5yYj3N0CQSgcHMF91ZlO,spotify:track:3j5yYj3N0CQSgcHMF91ZlO,https://api.spotify.com/v1/tracks/3j5yYj3N0CQSgcHMF91ZlO,https://api.spotify.com/v1/audio-analysis/3j5yYj3N0CQSgcHMF91ZlO,286832,4
0.512,0.35,10,-11.843,1,0.0311,0.478,1.15e-06,0.0855,0.343,152.023,audio_features,56wVfJKtnwlSZtC4NVgIrf,spotify:track:56wVfJKtnwlSZtC4NVgIrf,https://api.spotify.com/v1/tracks/56wVfJKtnwlSZtC4NVgIrf,https://api.spotify.com/v1/audio-analysis/56wVfJKtnwlSZtC4NVgIrf,222333,4
0.752,0.87,9,-3.812,0,0.0623,0.0604,1.12e-05,0.489,0.784,120.006,audio_features,1IWNylpZ477gIVUDpJL66u,spotify:track:1IWNylpZ477gIVUDpJL66u,https://api.spotify.com/v1/tracks/1IWNylpZ477gIVUDpJL66u,https://api.spotify.com/v1/audio-analysis/1IWNylpZ477gIVUDpJL66u,157707,4
0.518,0.462,10,-8.471,1,0.0277,0.322,3.13e-06,0.117,0.289,131.892,audio_features,6XY80Ofqd8j0SGiEdRLwCp,spotify:track:6XY80Ofqd8j0SGiEdRLwCp,https://api.spotify.com/v1/tracks/6XY80Ofqd8j0SGiEdRLwCp,https://api.spotify.com/v1/audio-analysis/6XY80Ofqd8j0SGiEdRLwCp,279147,4
0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765,audio_features,4HBZA5flZLE435QTztThqH,spotify:track:4HBZA5flZLE435QTztThqH,https://api.spotify.com/v1/tracks/4HBZA5flZLE435QTztThqH,https://api.spotify.com/v1/audio-analysis/4HBZA5flZLE435QTztThqH,228482,3
0.615,0.386,3,-9.799,1,0.0312,0.825,4.46e-06,0.115,0.148,129.925,audio_features,1ZSleGniKMWNrWvK5cGALO,spotify:track:1ZSleGniKMWNrWvK5cGALO,https://api.spotify.com/v1/tracks/1ZSleGniKMWNrWvK5cGALO,https://api.spotify.com/v1/audio-analysis/1ZSleGniKMWNrWvK5cGALO,247133,4
0.806,0.546,9,-6.637,1,0.0575,0.3,0,0.102,0.874,147.986,audio_features,4umIPjkehX1r7uhmGvXiSV,spotify:track:4umIPjkehX1r7uhmGvXiSV,https://api.spotify.com/v1/tracks/4umIPjkehX1r7uhmGvXiSV,https://api.spotify.com/v1/audio-analysis/4umIPjkehX1r7uhmGvXiSV,212867,4
0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,audio_features,3PfIrDoz19wz7qK7tYeu62,spotify:track:3PfIrDoz19wz7qK7tYeu62,https://api.spotify.com/v1/tracks/3PfIrDoz19wz7qK7tYeu62,https://api.spotify.com/v1/audio-analysis/3PfIrDoz19wz7qK7tYeu62,183290,4
0.655,0.741,6,-6.231,1,0.0298,0.0797,7.58e-06,0.138,0.434,90.013,audio_features,6KPqmgpoKCHLA5qRdT8w2Q,spotify:track:6KPqmgpoKCHLA5qRdT8w2Q,https://api.spotify.com/v1/tracks/6KPqmgpoKCHLA5qRdT8w2Q,https://api.spotify.com/v1/audio-analysis/6KPqmgpoKCHLA5qRdT8w2Q,155333,4
