track_id,city,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
58dshGRM6scCszXoW6odRG,Taipei,0.801,0.504,8,-7.844,0,0.0654,0.437,0,0.0672,0.964,128.96,audio_features,spotify:track:58dshGRM6scCszXoW6odRG,https://api.spotify.com/v1/tracks/58dshGRM6scCszXo...,https://api.spotify.com/v1/audio-analysis/58dshGRM...,217707,4
07PRLLU7s6EK6hUIAKstv5,Taipei,0.856,0.391,6,-10.997,1,0.15,0.661,0.000357,0.111,0.635,128.997,audio_features,spotify:track:07PRLLU7s6EK6hUIAKstv5,https://api.spotify.com/v1/tracks/07PRLLU7s6EK6hUI...,https://api.spotify.com/v1/audio-analysis/07PRLLU7...,392679,4
01mH7HUE0ThKRbyYOuva56,Taipei,0.837,0.833,11,-4.494,0,0.0568,0.571,0,0.231,0.82,131.005,audio_features,spotify:track:01mH7HUE0ThKRbyYOuva56,https://api.spotify.com/v1/tracks/01mH7HUE0ThKRbyY...,https://api.spotify.com/v1/audio-analysis/01mH7HUE...,238006,4
1LudXhCmtNMR5ggnY4iNzD,Taipei,0.746,0.508,11,-10.025,0,0.0451,0.75,0,0.0968,0.543,130.072,audio_features,spotify:track:1LudXhCmtNMR5ggnY4iNzD,https://api.spotify.com/v1/tracks/1LudXhCmtNMR5ggn...,https://api.spotify.com/v1/audio-analysis/1LudXhCm...,219000,4
0sRSSdleurHaHb2pEWWdiB,Taipei,0.681,0.635,4,-7.849,0,0.0338,0.333,0.0103,0.106,0.126,125.993,audio_features,spotify:track:0sRSSdleurHaHb2pEWWdiB,https://api.spotify.com/v1/tracks/0sRSSdleurHaHb2p...,https://api.spotify.com/v1/audio-analysis/0sRSSdle...,396680,4
48Y7zBZdvGSGxzhnUAGfUN,Taipei,0.612,0.584,9,-6.751,1,0.033,0.0796,0.000109,0.111,0.14,129.96,audio_features,spotify:track:48Y7zBZdvGSGxzhnUAGfUN,https://api.spotify.com/v1/tracks/48Y7zBZdvGSGxzhn...,https://api.spotify.com/v1/audio-analysis/48Y7zBZd...,479610,4
0zru06eFVhTcexrcnjnQAj,Taipei,0.597,0.516,4,-8.593,1,0.0263,0.0152,0.00306,0.132,0.222,97.012,audio_features,spotify:track:0zru06eFVhTcexrcnjnQAj,https://api.spotify.com/v1/tracks/0zru06eFVhTcexrc...,https://api.spotify.com/v1/audio-analysis/0zru06eF...,260933,4
40Oaj6JZiKvPwYa4X8MDp7,Taipei,0.681,0.696,1,-6.053,0,0.0467,0.264,0,0.275,0.698,114.056,audio_features,spotify:track:40Oaj6JZiKvPwYa4X8MDp7,https://api.spotify.com/v1/tracks/40Oaj6JZiKvPwYa4...,https://api.spotify.com/v1/audio-analysis/40Oaj6JZ...,206672,4
2xJl4EcIKMNKIS9s1BuyoI,Taipei,0.547,0.755,8,-6.226,1,0.0449,0.132,0.0000399,0.091,0.594,114.954,audio_features,spotify:track:2xJl4EcIKMNKIS9s1BuyoI,https://api.spotify.com/v1/tracks/2xJl4EcIKMNKIS9s...,https://api.spotify.com/v1/audio-analysis/2xJl4EcI...,241587,4
5hCQ1lA6T77El1Z5BMq8U7,Taipei,0.79,0.755,5,-7.189,0,0.2,0.167,0,0.314,0.514,93.011,audio_features,spotify:track:5hCQ1lA6T77El1Z5BMq8U7,https://api.spotify.com/v1/tracks/5hCQ1lA6T77El1Z5...,https://api.spotify.com/v1/audio-analysis/5hCQ1lA6...,175484,4
2kk2L7h0qAsBFYeNyOiU2m,Taipei,0.415,0.742,0,-5.549,1,0.0546,0.0555,0,0.418,0.607,122.037,audio_features,spotify:track:2kk2L7h0qAsBFYeNyOiU2m,https://api.spotify.com/v1/tracks/2kk2L7h0qAsBFYeN...,https://api.spotify.com/v1/audio-analysis/2kk2L7h0...,208467,4
2cKY2agDTAezOq1HZPOheC,Taipei,0.696,0.444,9,-12.816,0,0.0762,0.549,0.0103,0.102,0.661,160.028,audio_features,spotify:track:2cKY2agDTAezOq1HZPOheC,https://api.spotify.com/v1/tracks/2cKY2agDTAezOq1H...,https://api.spotify.com/v1/audio-analysis/2cKY2agD...,222000,4
5xurwHAzaNCyt4PzTl9v54,Taipei,0.737,0.625,5,-7.246,0,0.348,0.408,0,0.142,0.844,175.634,audio_features,spotify:track:5xurwHAzaNCyt4PzTl9v54,https://api.spotify.com/v1/tracks/5xurwHAzaNCyt4Pz...,https://api.spotify.com/v1/audio-analysis/5xurwHAz...,188017,4
6Wd7irEG9k2IzO0GPj96j9,Taipei,0.66,0.399,5,-9.413,1,0.0859,0.632,0,0.0957,0.465,144.174,audio_features,spotify:track:6Wd7irEG9k2IzO0GPj96j9,https://api.spotify.com/v1/tracks/6Wd7irEG9k2IzO0G...,https://api.spotify.com/v1/audio-analysis/6Wd7irEG...,217500,4
4jq4ZwtuCqly5Z89dcghjX,Taipei,0.722,0.191,2,-11.041,1,0.0336,0.853,0,0.102,0.171,121.846,audio_features,spotify:track:4jq4ZwtuCqly5Z89dcghjX,https://api.spotify.com/v1/tracks/4jq4ZwtuCqly5Z89...,https://api.spotify.com/v1/audio-analysis/4jq4Zwtu...,217083,4
1uRpwofq229pcFA9s6isv2,Taipei,0.491,0.524,0,-8.344,1,0.0275,0.115,0.00000271,0.23,0.244,127.983,audio_features,spotify:track:1uRpwofq229pcFA9s6isv2,https://api.spotify.com/v1/tracks/1uRpwofq229pcFA9...,https://api.spotify.com/v1/audio-analysis/1uRpwofq...,301000,4
5yOy3vK27xjkWaqTS46gHN,Taipei,0.714,0.593,9,-6.471,1,0.0562,0.691,0.00034,0.154,0.0397,122.022,audio_features,spotify:track:5yOy3vK27xjkWaqTS46gHN,https://api.spotify.com/v1/tracks/5yOy3vK27xjkWaqT...,https://api.spotify.com/v1/audio-analysis/5yOy3vK2...,216055,4
18skUiI0cqgeceCykNtK6r,Taipei,0.513,0.715,2,-4.744,1,0.0345,0.0158,0,0.349,0.304,139.979,audio_features,spotify:track:18skUiI0cqgeceCykNtK6r,https://api.spotify.com/v1/tracks/18skUiI0cqgeceCy...,https://api.spotify.com/v1/audio-analysis/18skUiI0...,245786,4
6uZ1Ha1NYwbyp9F3BH1wvm,Taipei,0.789,0.606,11,-7.6,0,0.0465,0.0579,0.0213,0.103,0.437,140.021,audio_features,spotify:track:6uZ1Ha1NYwbyp9F3BH1wvm,https://api.spotify.com/v1/tracks/6uZ1Ha1NYwbyp9F3...,https://api.spotify.com/v1/audio-analysis/6uZ1Ha1N...,212000,4
0olugM7cjbXmFy6c4OkkH4,Taipei,0.369,0.363,9,-8.324,1,0.0334,0.439,0.00000454,0.212,0.255,93.442,audio_features,spotify:track:0olugM7cjbXmFy6c4OkkH4,https://api.spotify.com/v1/tracks/0olugM7cjbXmFy6c...,https://api.spotify.com/v1/audio-analysis/0olugM7c...,474162,4
4LSPhOVHew694KG2IAA6Ap,Taipei,0.475,0.522,7,-6.351,1,0.118,0.634,0,0.153,0.571,74.755,audio_features,spotify:track:4LSPhOVHew694KG2IAA6Ap,https://api.spotify.com/v1/tracks/4LSPhOVHew694KG2...,https://api.spotify.com/v1/audio-analysis/4LSPhOVH...,181599,4
2ZV6TUFc3LXn6Rjl1doIlH,Taipei,0.471,0.503,2,-9.286,1,0.0303,0.489,0.0000626,0.109,0.187,136.331,audio_features,spotify:track:2ZV6TUFc3LXn6Rjl1doIlH,https://api.spotify.com/v1/tracks/2ZV6TUFc3LXn6Rjl...,https://api.spotify.com/v1/audio-analysis/2ZV6TUFc...,341693,4
7uHAfqpQgDJRFcen5FWNxh,Taipei,0.624,0.181,9,-23.44,1,0.0486,0.836,0.15,0.362,0.187,100.042,audio_features,spotify:track:7uHAfqpQgDJRFcen5FWNxh,https://api.spotify.com/v1/tracks/7uHAfqpQgDJRFcen...,https://api.spotify.com/v1/audio-analysis/7uHAfqpQ...,254412,4
3YAEHjR8nRsMMNHcdIpSIn,Taipei,0.663,0.539,11,-6.266,1,0.276,0.207,0,0.0526,0.817,183.776,audio_features,spotify:track:3YAEHjR8nRsMMNHcdIpSIn,https://api.spotify.com/v1/tracks/3YAEHjR8nRsMMNHc...,https://api.spotify.com/v1/audio-analysis/3YAEHjR8...,203363,4
4wFRb1zChZ2f6AfSLOk7je,Taipei,0.526,0.701,6,-8.599,0,0.0419,0.672,0.0843,0.0723,0.458,77.962,audio_features,spotify:track:4wFRb1zChZ2f6AfSLOk7je,https://api.spotify.com/v1/tracks/4wFRb1zChZ2f6AfS...,https://api.spotify.com/v1/audio-analysis/4wFRb1zC...,252293,4
0mwHJWDG6TnFtAPtWmlXed,Taipei,0.472,0.591,1,-7.059,1,0.151,0.287,0,0.103,0.256,103.984,audio_features,spotify:track:0mwHJWDG6TnFtAPtWmlXed,https://api.spotify.com/v1/tracks/0mwHJWDG6TnFtAPt...,https://api.spotify.com/v1/audio-analysis/0mwHJWDG...,285320,4
5LyH3P8WFC6mBIJGX4s0Er,Taipei,0.324,0.302,0,-10.725,1,0.0355,0.809,0.00159,0.105,0.0489,134.833,audio_features,spotify:track:5LyH3P8WFC6mBIJGX4s0Er,https://api.spotify.com/v1/tracks/5LyH3P8WFC6mBIJG...,https://api.spotify.com/v1/audio-analysis/5LyH3P8W...,258181,4
2nEDyf4hJY0zQXo2HodHg9,Taipei,0.691,0.608,6,-7.751,0,0.0378,0.355,0,0.0382,0.388,120.034,audio_features,spotify:track:2nEDyf4hJY0zQXo2HodHg9,https://api.spotify.com/v1/tracks/2nEDyf4hJY0zQXo2...,https://api.spotify.com/v1/audio-analysis/2nEDyf4h...,168000,4
4aqlkDLLgTEdIzd6c93FFh,Taipei,0.418,0.356,9,-10.458,1,0.0297,0.818,0.0381,0.135,0.225,169.881,audio_features,spotify:track:4aqlkDLLgTEdIzd6c93FFh,https://api.spotify.com/v1/tracks/4aqlkDLLgTEdIzd6...,https://api.spotify.com/v1/audio-analysis/4aqlkDLL...,269246,4
1O0MAdB85l8Bt4yD99LzQb,Taipei,0.738,0.411,8,-6.776,1,0.027,0.768,0,0.101,0.269,102.957,audio_features,spotify:track:1O0MAdB85l8Bt4yD99LzQb,https://api.spotify.com/v1/tracks/1O0MAdB85l8Bt4yD...,https://api.spotify.com/v1/audio-analysis/1O0MAdB8...,258600,4
6mtHGQzkS67EGkebua2y6P,Taipei,0.587,0.519,5,-11.067,0,0.46,0.888,0,0.0952,0.179,171.816,audio_features,spotify:track:6mtHGQzkS67EGkebua2y6P,https://api.spotify.com/v1/tracks/6mtHGQzkS67EGkeb...,https://api.spotify.com/v1/audio-analysis/6mtHGQzk...,178953,3
1kzo6QoYHW2Uf2Ccyb5y8i,Taipei,0.69,0.636,0,-8.453,1,0.0967,0.389,0.0000759,0.192,0.292,172.064,audio_features,spotify:track:1kzo6QoYHW2Uf2Ccyb5y8i,https://api.spotify.com/v1/tracks/1kzo6QoYHW2Uf2Cc...,https://api.spotify.com/v1/audio-analysis/1kzo6QoY...,273934,4
0Zr57tyrXXfbnjejbNWwfg,Taipei,0.679,0.104,0,-21.019,1,0.0337,0.53,0.00236,0.0857,0.495,151.929,audio_features,spotify:track:0Zr57tyrXXfbnjejbNWwfg,https://api.spotify.com/v1/tracks/0Zr57tyrXXfbnjej...,https://api.spotify.com/v1/audio-analysis/0Zr57tyr...,183223,4
4DK0xsQMNEgVOVwERGzGyd,Taipei,0.764,0.649,11,-5.605,1,0.0546,0.479,0,0.349,0.651,131.953,audio_features,spotify:track:4DK0xsQMNEgVOVwERGzGyd,https://api.spotify.com/v1/tracks/4DK0xsQMNEgVOVwE...,https://api.spotify.com/v1/audio-analysis/4DK0xsQM...,148175,4
2gtkrWIBUfBxfJ4VudJGbB,Taipei,0.792,0.838,8,-6.892,0,0.188,0.513,0.00245,0.106,0.695,97.017,audio_features,spotify:track:2gtkrWIBUfBxfJ4VudJGbB,https://api.spotify.com/v1/tracks/2gtkrWIBUfBxfJ4V...,https://api.spotify.com/v1/audio-analysis/2gtkrWIB...,232689,4
6w2dAI4lAxYWXwUlXIOn2T,Taipei,0.612,0.289,6,-11.874,1,0.0792,0.464,0,0.229,0.372,146.941,audio_features,spotify:track:6w2dAI4lAxYWXwUlXIOn2T,https://api.spotify.com/v1/tracks/6w2dAI4lAxYWXwUl...,https://api.spotify.com/v1/audio-analysis/6w2dAI4l...,231497,3
0wRgHtaLt0CbQMt78EBALr,Taipei,0.662,0.45,0,-12.173,0,0.0471,0.0209,0.00268,0.121,0.15,122.005,audio_features,spotify:track:0wRgHtaLt0CbQMt78EBALr,https://api.spotify.com/v1/tracks/0wRgHtaLt0CbQMt7...,https://api.spotify.com/v1/audio-analysis/0wRgHtaL...,386727,4
1drkbspB7y7tUbY3aAQhiV,Taipei,0.592,0.548,6,-8.238,1,0.0244,0.335,0,0.111,0.423,89.963,audio_features,spotify:track:1drkbspB7y7tUbY3aAQhiV,https://api.spotify.com/v1/tracks/1drkbspB7y7tUbY3...,https://api.spotify.com/v1/audio-analysis/1drkbspB...,284173,4
3rn0kiWmsQe1KDK0bVTh2f,Taipei,0.421,0.425,8,-9.006,1,0.0295,0.291,0.000381,0.0606,0.716,146.005,audio_features,spotify:track:3rn0kiWmsQe1KDK0bVTh2f,https://api.spotify.com/v1/tracks/3rn0kiWmsQe1KDK0...,https://api.spotify.com/v1/audio-analysis/3rn0kiWm...,233200,4
7JYK2bssqvt2JXYiwQQV17,Taipei,0.539,0.699,2,-11.275,1,0.0287,0.128,0.683,0.358,0.241,103.014,audio_features,spotify:track:7JYK2bssqvt2JXYiwQQV17,https://api.spotify.com/v1/tracks/7JYK2bssqvt2JXYi...,https://api.spotify.com/v1/audio-analysis/7JYK2bss...,288932,4
36pMi23nNlOiHMKVdF9I4t,Taipei,0.578,0.617,9,-6.281,1,0.106,0.372,0,0.267,0.52,172.159,audio_features,spotify:track:36pMi23nNlOiHMKVdF9I4t,https://api.spotify.com/v1/tracks/36pMi23nNlOiHMKV...,https://api.spotify.com/v1/audio-analysis/36pMi23n...,210349,4
0wtOYsGsSuDirEG5edi51J,Taipei,0.414,0.424,2,-9.513,1,0.0307,0.807,0.000158,0.0875,0.185,123.777,audio_features,spotify:track:0wtOYsGsSuDirEG5edi51J,https://api.spotify.com/v1/tracks/0wtOYsGsSuDirEG5...,https://api.spotify.com/v1/audio-analysis/0wtOYsGs...,274212,4
59ZlkOsHQUHTzjaQUsEBgL,Taipei,0.533,0.867,2,-5.091,1,0.0355,0.00135,0,0.105,0.561,150.075,audio_features,spotify:track:59ZlkOsHQUHTzjaQUsEBgL,https://api.spotify.com/v1/tracks/59ZlkOsHQUHTzjaQ...,https://api.spotify.com/v1/audio-analysis/59ZlkOsH...,222684,4
5gm0rhCcCDHmW904wG36sC,Taipei,0.652,0.64,0,-6.574,1,0.0624,0.274,0.0000155,0.373,0.408,77.007,audio_features,spotify:track:5gm0rhCcCDHmW904wG36sC,https://api.spotify.com/v1/tracks/5gm0rhCcCDHmW904...,https://api.spotify.com/v1/audio-analysis/5gm0rhCc...,347493,4
0yf00xitOw4zdnTRkvtuEv,Taipei,0.568,0.675,9,-6.392,1,0.133,0.0294,0,0.215,0.195,79.889,audio_features,spotify:track:0yf00xitOw4zdnTRkvtuEv,https://api.spotify.com/v1/tracks/0yf00xitOw4zdnTR...,https://api.spotify.com/v1/audio-analysis/0yf00xit...,212766,4
56QgUc9HhbM4nJqT3WNMid,Taipei,0.653,0.581,6,-11.958,0,0.333,0.0164,0,0.19,0.534,179.844,audio_features,spotify:track:56QgUc9HhbM4nJqT3WNMid,https://api.spotify.com/v1/tracks/56QgUc9HhbM4nJqT...,https://api.spotify.com/v1/audio-analysis/56QgUc9H...,146000,4
4rhTbLNVEHvSENW3KWuHTX,Taipei,0.514,0.366,5,-9.726,1,0.141,0.613,0.000201,0.369,0.107,139.307,audio_features,spotify:track:4rhTbLNVEHvSENW3KWuHTX,https://api.spotify.com/v1/tracks/4rhTbLNVEHvSENW3...,https://api.spotify.com/v1/audio-analysis/4rhTbLNV...,225422,4
